Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit (LC),Certificate of Origin,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",Rechargeable Batteries for Consumer Devices (Nickel-Metal Hydride),Goods description mismatch
Letter of Credit (LC),Certificate of Origin,Quantity,500 units,480 units,Quantity mismatch
Letter of Credit (LC),Certificate of Origin,Date of Export,Latest Shipment Date: 15 October 2025,20 October 2025,Shipment date exceeds LC's latest shipment date
Letter of Credit (LC),Commercial Invoice,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",Rechargeable Lithium-Ion Batteries (Model LP-500),Goods description mismatch
Letter of Credit (LC),Commercial Invoice,Quantity,500 units,520 units,Quantity mismatch
Letter of Credit (LC),Commercial Invoice,Total Amount,"USD 75,000.00","USD 76,440.00",Amount mismatch
Letter of Credit (LC),Commercial Invoice,Incoterms,"CIF Jebel Ali Port, Dubai, UAE","FOB Yantian Port, China",Incoterms mismatch
Letter of Credit (LC),Commercial Invoice,Port of Discharge,"Jebel Ali Port, Dubai, UAE","Port Khalifa, Abu Dhabi, UAE",Port of discharge mismatch
Letter of Credit (LC),Dangerous Goods Declaration,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",LITHIUM METAL BATTERIES,Goods description mismatch
Letter of Credit (LC),Dangerous Goods Declaration,UN Number,UN 3480,UN 3090,UN number mismatch
Letter of Credit (LC),Dangerous Goods Declaration,Number of Packages,Not specified,50 cartons,Missing information in LC
Letter of Credit (LC),Dangerous Goods Declaration,Net Quantity of Dangerous Goods,Not specified,920 kg,Missing information in LC
Letter of Credit (LC),Packing List,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",Lithium-Ion Batteries (Model LP-500),Goods description mismatch
Letter of Credit (LC),Packing List,Quantity,500 units,500 units,No discrepancy
Letter of Credit (LC),Packing List,Partial Shipment,Not Allowed,Allowed,Partial shipment allowance mismatch
Letter of Credit (LC),Packing List,Port of Discharge,"Jebel Ali Port, Dubai, UAE","Port Khalifa, Abu Dhabi, UAE",Port of discharge mismatch
Letter of Credit (LC),Packing List,Date of Shipment,Latest Shipment Date: 15 October 2025,18 October 2025,Shipment date exceeds LC's latest shipment date
Letter of Credit (LC),Quality Certificate,Goods Description,"Lithium-Ion Batteries, UN 3480, Class 9",Rechargeable Lithium-Ion Batteries (Model LP-500),Goods description mismatch
Letter of Credit (LC),Quality Certificate,Quantity,500 units,480 units,Quantity mismatch
Letter of Credit (LC),Quality Certificate,Port of Discharge,"Jebel Ali Port, Dubai, UAE","Port Khalifa, Abu Dhabi, UAE",Port of discharge mismatch
